Date,Open,High,Low,Close,Volume,Market Cap,,,
05 December 2017,1580.16,1623.16,1498,1501.85,"1,03,28,00,000","26,60,69,00,000",,,
06 December 2017,1498.49,1530.65,1396.16,1430.1,"1,15,46,20,000","25,23,44,00,000",,,
07 December 2017,1430.71,1454.73,1323.75,1330.93,"1,28,52,10,000","24,09,59,00,000",,,
08 December 2017,1329.16,1731.32,1247.93,1464.13,"2,55,39,80,000","22,38,67,00,000",,,
09 December 2017,1464.63,1526.4,1353.9,1410.06,"1,05,96,10,000","24,67,16,00,000",,,
10 December 2017,1411.84,1411.84,1226.21,1323.07,"88,58,86,000","23,78,49,00,000",,,
11 December 2017,1320,1453.49,1316.85,1423.38,"92,27,92,000","22,23,99,00,000",,,
12 December 2017,1427.38,1638.29,1427.38,1615.03,"1,38,62,50,000","24,05,18,00,000",,,
13 December 2017,1616.99,1702.53,1497.94,1607.65,"1,24,51,90,000","27,24,96,00,000",,,
14 December 2017,1600.67,2080.41,1593.15,1966.14,"2,71,74,10,000","26,97,77,00,000",,,
15 December 2017,1974.66,1974.66,1678.06,1815.43,"1,45,72,30,000","33,28,48,00,000",,,
16 December 2017,1824.85,1890.06,1769.5,1801.88,"97,12,55,000","30,76,26,00,000",,,
17 December 2017,1812.33,1939.93,1806.65,1862.88,"1,02,05,90,000","30,55,45,00,000",,,
18 December 2017,1869.21,2353.64,1799.12,2196.64,"2,53,86,50,000","31,51,69,00,000",,,
19 December 2017,2199.06,2918.93,2160.92,2805.89,"3,91,33,40,000","37,08,33,00,000",,,
20 December 2017,2825.03,4355.62,2825.03,3923.07,"11,88,96,00,000","47,64,46,00,000",,,
21 December 2017,3909,3909,3038.01,3267.17,"3,66,43,30,000","65,93,37,00,000",,,
22 December 2017,3324,3369.55,1938.36,2696.69,"3,87,77,70,000","56,07,18,00,000",,,
23 December 2017,2746.95,3479.71,2684.82,3257.08,"2,84,33,10,000","46,34,20,00,000",,,
24 December 2017,3260.55,3260.55,2573.44,2903.12,"1,71,21,60,000","55,01,32,00,000",,,
25 December 2017,2929.35,3099.62,2755.6,2954.69,"1,35,54,40,000","49,43,08,00,000",,,
26 December 2017,2947.74,3112.64,2915.8,3108.89,"1,54,44,30,000","49,74,57,00,000",,,
27 December 2017,3108.32,3108.32,2771.05,2889.52,"1,40,64,50,000","52,46,12,00,000",,,
28 December 2017,2888.64,2896.78,2481.3,2566.64,"3,22,13,00,000","48,75,87,00,000",,,
29 December 2017,2587.3,2922.41,2389.04,2779.95,"2,47,94,20,000","43,67,70,00,000",,,
30 December 2017,2791.55,2791.55,2329.47,2392.41,"1,25,77,60,000","47,12,98,00,000",,,
31 December 2017,2376.96,2627.95,2350.03,2533.01,"1,30,08,20,000","40,13,49,00,000",,,
01 January 2018,2534.82,2534.86,2389.52,2432.54,"92,28,13,000","42,80,48,00,000",,,
02 January 2018,2434.5,2867.14,2434.5,2711,"1,83,12,30,000","41,11,48,00,000",,,
03 January 2018,2700.55,2958.47,2592.56,2608.69,"4,68,88,40,000","45,61,33,00,000",,,
04 January 2018,2608.87,2610.2,2359.3,2430.18,"5,37,72,60,000","44,06,91,00,000",,,
05 January 2018,2400.74,2648.32,2370.59,2584.48,"2,11,57,10,000","40,55,76,00,000",,,
06 January 2018,2583.71,2829.69,2481.36,2786.65,"1,66,91,60,000","43,65,32,00,000",,,
07 January 2018,2784.68,3071.16,2730.31,2786.88,"1,44,47,80,000","47,05,40,00,000",,,
08 January 2018,2786.6,2810.32,2275.07,2421.47,"1,42,89,00,000","47,09,16,00,000",,,
09 January 2018,2412.36,2502.87,2346.68,2391.56,"1,08,47,50,000","40,77,09,00,000",,,
10 January 2018,2390.02,2961.2,2332.48,2895.38,"2,57,88,10,000","40,39,80,00,000",,,
11 January 2018,2891.55,2976.49,2396.84,2462.61,"1,94,79,50,000","48,88,08,00,000",,,
12 January 2018,2475.9,2648.23,2413.33,2620.99,"1,11,02,20,000","41,85,91,00,000",,,
13 January 2018,2617.66,2850.27,2589.03,2685.29,"1,21,85,70,000","44,26,03,00,000",,,
14 January 2018,2687.1,2746.61,2490.04,2553.32,"99,33,10,000","45,43,95,00,000",,,
15 January 2018,2541.58,2576.13,2328.31,2401.54,"1,41,23,60,000","42,98,35,00,000",,,
16 January 2018,2406.86,2406.86,1555.97,1772.07,"1,70,40,30,000","40,70,88,00,000",,,
17 January 2018,1767.58,1875.08,1361.02,1748.05,"1,45,77,30,000","29,89,95,00,000",,,
18 January 2018,1752.27,1893.47,1696.25,1756.75,"1,02,40,60,000","29,64,36,00,000",,,
19 January 2018,1740.17,1870.78,1723.87,1769.62,"74,32,47,000","29,44,22,00,000",,,
20 January 2018,1784.26,2124.45,1780.45,2032.12,"1,11,62,40,000","30,19,15,00,000",,,
21 January 2018,2033.7,2033.7,1733.99,1776.64,"74,51,79,000","34,41,55,00,000",,,
22 January 2018,1794.46,1815.42,1525.5,1621.92,"68,13,50,000","30,37,02,00,000",,,
23 January 2018,1623.14,1700.34,1504.72,1621.46,"57,89,84,000","27,47,37,00,000",,,
24 January 2018,1622.15,1703.34,1575.42,1639.13,"48,81,61,000","27,46,02,00,000",,,
25 January 2018,1661.04,1707.7,1611.04,1642.12,"52,21,94,000","28,12,13,00,000",,,
26 January 2018,1637.19,1678.63,1500.37,1603.9,"59,46,67,000","27,72,05,00,000",,,
27 January 2018,1602.5,1665.81,1567.78,1628.63,"44,17,42,000","27,13,61,00,000",,,
28 January 2018,1636.41,1762.34,1636.41,1746.25,"58,05,44,000","27,71,33,00,000",,,
29 January 2018,1745.36,1763.24,1638.33,1657.14,"36,22,13,000","29,56,15,00,000",,,
30 January 2018,1657.69,1662.07,1468.17,1470.55,"64,98,23,000","28,07,97,00,000",,,
31 January 2018,1470.74,1522.87,1406.25,1486.89,"72,92,09,000","24,91,57,00,000",,,
01 February 2018,1491.12,1503.3,1214.88,1274.35,"67,80,20,000","25,26,32,00,000",,,
02 February 2018,1272.5,1272.5,980.78,1191.14,"89,66,66,000","21,56,17,00,000",,,
03 February 2018,1194.23,1314.43,1072.83,1272.5,"45,31,01,000","20,23,74,00,000",,,
04 February 2018,1273.17,1286.98,1101.31,1165.38,"65,60,34,000","21,57,75,00,000",,,
05 February 2018,1159.89,1172.7,839.95,887.41,"56,81,17,000","19,65,98,00,000",,,
06 February 2018,890.97,978.91,764.02,974.52,"77,74,20,000","15,10,31,00,000",,,
07 February 2018,971.08,1040.49,902.49,957.96,"86,62,22,000","16,46,29,00,000",,,
